,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character,credit_id,order
0,False,/3122AQUcnIZJIUxQ6W5evLf2qYr.jpg,"[53, 27]",362579,es,Anabel,"Anabel and her two roommates are looking for someone to share the rent. They choose an older gentleman who gain their trust, but soon they discover a strange and disturbing presence.",4.749,/iWjPWr8USnYM8M9twN9C11kI1cB.jpg,2015-10-11,Anabel,False,6.371,31,Cris,5611a102c3a36868100133ef,0
1,False,/nQ57n55bwt2fL5w9b5VqVzCVGX8.jpg,"[28, 27, 53]",80279,es,El callejón,A serial killer traps and taunts a young dancer inside a laundromat that located down an isolated alley.,6.154,/57ZbYBtXomPjqv3fYmdIu7Fh4GD.jpg,2011-10-14,Blind Alley,False,5.138,29,Rosa,52fe47b39251416c91072e75,0
2,False,,"[10749, 35]",416183,es,"Y de postre, qué",A girl and a boy meet in a restaurant. They don't know each other. They start a meal that will take them through all the phases of a romantic relationship.,2.333,,2009-11-28,What's for Dessert?,False,2.0,1,Girl,57db81b1925141698d003401,0
3,False,,"[18, 10749]",416185,es,Ánima,"Julieta takes her cello to a luthier's workshop, and as she observes the hypnotic movements of his hands on the damaged instruments, she realises that her soul too yearns to be healed.",2.758,/h0d2ysuJzdSE8AdhWnKmgnSq60X.jpg,2011-07-08,Ánima,False,5.5,2,Julieta,57db846392514169380035d0,0
4,False,/edCpfNlCVKNb7YN22vtdK7TBItV.jpg,[18],522912,en,Corazón,"Elena Ramirez  is a disadvantaged prostitute who learns that she has a life threatening medical condition, and must make attempts to earn a visa in order to gain access to the necessary treatment.",4.429,,2018-04-04,Corazón,False,7.4,8,Elena Ramirez,5af0ddfc0e0a26444f000107,0
5,False,/c3TfoiUES6INii849Yhd8ZYagLy.jpg,[18],301502,en,Blonde,"From her volatile childhood as Norma Jeane, through her rise to stardom and romantic entanglements, this reimagined fictional portrait of Hollywood legend Marilyn Monroe blurs the lines of fact and fiction to explore the widening split between her public and private selves.",34.346,/mEeHqtnWOR44vLCutEFku2WK6ou.jpg,2022-09-16,Blonde,False,6.0,1223,Norma Jeane,5c8aeef6c3a36864610eb5b2,0
6,False,/aP880Jt7PyHrU4IP5aPPl6ra1Yv.jpg,[14],795796,en,Entering Red,A woman walks into a bar and is sold the life of her dreams.,1.896,/5qlyedHZG4odZkBYaZNRXJMsEn0.jpg,2019-02-05,Entering Red,False,4.769,13,Ana,6033e0e020ecaf003c19994c,0
7,False,/zYOUXV4XhYm6mhrB5mR6sKUwkIn.jpg,"[28, 80, 53]",541671,en,Ballerina,A young female assassin seeks revenge against the people who killed her family.,11.428,,2024-06-06,Ballerina,False,0.0,0,Rooney,617b2f9ed6dbba0091eb4e9e,0
8,False,/pv82OBJIF3v5inCkpxfb2XZFYta.jpg,"[35, 18]",17899,es,Mentiras y gordas,"A youth group is preparing for what will be the summer of their life, including secrets, lies, sex, confusion, evenings and holidays.",37.657,/uOJEJFrb2DX4odPfvaTwS7edpbq.jpg,2009-03-27,"Sex, Party and Lies",False,4.55,131,Carola,52fe47509251416c75094fa9,1
9,False,/jkkOvgxl4TPeGlh44ahGFGa7bdX.jpg,"[18, 10749]",258751,es,Por un puñado de besos,"A girl. A boy. A love story. But also about dreams, fears, life, true love, friendship and how we deal with it. And a secret between them...",13.743,/boN7qOZXh2B7AW3Nr7yzCnTtdIy.jpg,2014-05-16,For a Handful of Kisses,False,7.0,78,Sol,531daab492514177bc006c37,1
10,False,/niGowOt2WKLTi1QaYcF4HDPprjj.jpg,"[18, 80, 53, 9648]",331962,en,Exposed,"After witnessing a miracle, a young Latina woman experiences strange things as a police detective searches for the truth behind his partner's death.",19.91,/nM26QosEfgjEegONCiNNrYMBTxD.jpg,2016-01-22,Exposed,False,4.914,480,Isabel de La Cruz,550de875c3a3681db2006619,1
